molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL2385821,Cc1cc(Nc2cccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)c2)nc(N)n1,O=C(Nc1cccc(Nc2ccncn2)c1)c1ccc(Nc2ccnc3ccccc23)cc1,52000.0,nM,4.2839966563652006,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813
CHEMBL556265,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,c1ccc(CNc2ncnc3c2ncn3[C@H]2CCCO2)cc1,61000.0,nM,4.214670164989233,0.59,11,5,474.54,1,168.64,33,CHEMBL1151871
CHEMBL3126652,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4cc(C)nc(N)n4)cc3)cc2)nc(N)n1,O=C(Nc1ccc(Nc2ccncn2)cc1)c1ccc(Nc2ccncn2)cc1,68000.0,nM,4.167491087293763,3.79,9,5,441.50,0,156.76,33,CHEMBL3124813
CHEMBL3109078,O=C(O)[C@H]1[C@@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,O=C(c1ccccc1)N1CC[C@H](Cc2c[nH]c3ccccc23)C1,73000.0,nM,4.136677139879544,3.33,2,2,348.40,0,73.40,26,CHEMBL3108732
CHEMBL560165,COc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1,c1ncc2ncn([C@H]3CCCO3)c2n1,75000.0,nM,4.1249387366083,-1.43,12,5,414.44,1,191.86,28,CHEMBL1151871
CHEMBL3109079,O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1Sc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],c1ccc(SN2CC[C@@H](Cc3c[nH]c4ccccc34)C2)cc1,80000.0,nM,4.096910013008056,4.01,7,2,442.45,0,142.61,31,CHEMBL3108732
CHEMBL115145,O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,c1ccc(Cc2ccccc2)cc1,92000.0,nM,4.036212172654444,2.08,4,4,288.25,0,115.06,21,CHEMBL1157722
CHEMBL559281,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCC[C@@H]2N)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CSC4CCCC4)O3)c2n1,94000.0,nM,4.026872146400302,-0.36,10,4,366.45,0,145.33,25,CHEMBL1151876
CHEMBL3109077,O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,O=C(c1ccccc1)N1CC[C@@H](Cc2c[nH]c3ccccc23)C1,98000.0,nM,4.008773924307505,3.33,2,2,348.40,0,73.40,26,CHEMBL3108732
CHEMBL382617,Cc1ccn2c(CCc3nnc4cc(C)ccn34)nnc2c1,c1ccn2c(CCc3nnc4ccccn34)nnc2c1,100000.0,nM,4.0,2.17,6,0,292.35,0,60.38,22,CHEMBL1147744
