molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,framework,scaffold_idx
CHEMBL1232453,COc1cc2c(NC3CCN(CCCCCN)CC3)nc(NCCCN(C)C)nc2cc1OCCCCCN,c1ccc2c(NC3CCNCC3)ncnc2c1,1300.0,nM,5.886056647693163,3.52,10.0,4.0,544.79,1.0,126.82,39.0,CHEMBL2169811,c1ccc2c(NC3CCNCC3)ncnc2c1,1
CHEMBL4278524,COc1cc2nc(N3CCC(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,c1ccc(CN2CCC(Nc3nc(N4CCCCC4)nc4ccccc34)CC2)cc1,1326.0,nM,5.877456475931245,4.96,7.0,1.0,475.64,0.0,62.75,35.0,CHEMBL4261502,c1ccc(CN2CCC(Nc3nc(N4CCCCC4)nc4ccccc34)CC2)cc1,4
CHEMBL3109635,COc1cc2c(cc1OCCCN1CC(F)(F)C1)N=C(N)C21CCC1,C1=Nc2cc(OCCCN3CCC3)ccc2C12CCC2,1342.0,nM,5.872247484167026,2.84,5.0,1.0,351.4,0.0,60.08,25.0,CHEMBL3108684,C1=Nc2cc(OCCCN3CCC3)ccc2C12CCC2,45
CHEMBL4445273,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1CCCN,c1ccc2c(NC3CCNCC3)nc(C3CCCCC3)nc2c1,1350.0,nM,5.8696662315049934,4.86,6.0,2.0,439.65,0.0,76.3,32.0,CHEMBL4346750,c1ccc2c(NC3CCNCC3)nc(C3CCCCC3)nc2c1,6
CHEMBL4203186,Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(C#N)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1450.0,nM,5.838631997765026,5.05,7.0,1.0,473.62,1.0,77.56,35.0,CHEMBL4190398,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2
CHEMBL4207483,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCC(F)C1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1470.0,nM,5.832682665251824,5.13,7.0,1.0,496.63,1.0,63.0,36.0,CHEMBL4190398,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2
CHEMBL4752807,CNc1cc(C)nc(Nc2ccc(OC)c(C3=CCN(C)C3)c2)n1,C1=C(c2cccc(Nc3ncccn3)c2)CNC1,1494.0,nM,5.82564940252062,2.91,6.0,2.0,325.42,0.0,62.31,24.0,CHEMBL4725338,C1=C(c2cccc(Nc3ncccn3)c2)CNC1,76
CHEMBL4076634,COCCNc1nc(NC2CCN(C)CC2)c2cc(OC)c(OC)cc2n1,c1ccc2c(NC3CCNCC3)ncnc2c1,1582.0,nM,5.800793520838342,2.21,8.0,2.0,375.47,0.0,80.77,27.0,CHEMBL4052719,c1ccc2c(NC3CCNCC3)ncnc2c1,1
CHEMBL571717,COc1cc2nc(N3CCOCC3)nc(NC3CCN(C)CC3)c2cc1OC,c1ccc2c(NC3CCNCC3)nc(N3CCOCC3)nc2c1,1600.0,nM,5.795880017344075,1.99,8.0,1.0,387.48,0.0,71.98,28.0,CHEMBL1154694,c1ccc2c(NC3CCNCC3)nc(N3CCOCC3)nc2c1,7
CHEMBL4521601,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1C(N)=O,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,1630.0,nM,5.787812395596042,1.39,8.0,2.0,427.55,0.0,99.85,31.0,CHEMBL4346750,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,0
CHEMBL4082847,COCCN(C)c1nc(NC2CCN(C)CC2)c2cc(OC)c(OC)cc2n1,c1ccc2c(NC3CCNCC3)ncnc2c1,1630.0,nM,5.787812395596042,2.24,8.0,1.0,389.5,0.0,71.98,28.0,CHEMBL4052719,c1ccc2c(NC3CCNCC3)ncnc2c1,1
CHEMBL4856508,COc1cc2c(NCc3ccc([C@H]4CC[C@H](C(=O)NO)CC4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1650.0,nM,5.782516055786093,7.07,8.0,3.0,612.77,2.0,109.09,45.0,CHEMBL4834403,c1coc(-c2cc(NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3n2)c1,38
CHEMBL569864,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,c1ccc(CN2CCC(Nc3nc(N4CCCNCC4)nc4ccccc34)CC2)cc1,1700.0,nM,5.769551078621726,3.87,8.0,1.0,490.65,0.0,65.99,36.0,CHEMBL1154694,c1ccc(CN2CCC(Nc3nc(N4CCCNCC4)nc4ccccc34)CC2)cc1,17
CHEMBL1222849,CN1C(=O)[C@]23C[C@@]4([C@@]56C[C@]78SS[C@](CO)(C(=O)N7[C@@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@H]4N2C(=O)[C@@]1(CO)SS3,O=C1C2NC(=O)[C@@]3(C[C@@]4([C@@]56C[C@@]78SSC(NC7=O)C(=O)N8[C@@H]5Nc5ccccc56)c5ccccc5N[C@H]4N13)SS2,1700.0,nM,5.769551078621726,1.33,12.0,4.0,696.86,2.0,145.76,46.0,CHEMBL2169811,O=C1C2NC(=O)C3(CC4(C56CC78SSC(NC7=O)C(=O)N8C5Nc5ccccc56)c5ccccc5NC4N13)SS2,11
CHEMBL3948437,CN1CCN(c2cc(NCCN3CCCCC3)c3c4c(onc24)-c2ccccc2C3=O)CC1,O=C1c2ccccc2-c2onc3c(N4CCNCC4)cc(NCCN4CCCCC4)c1c23,1870.0,nM,5.7281583934635005,3.69,7.0,1.0,445.57,0.0,64.85,33.0,CHEMBL3856284,O=C1c2ccccc2-c2onc3c(N4CCNCC4)cc(NCCN4CCCCC4)c1c23,68
